Departamento;fechaProduccion;Recurso_Natural;Cantidad_Produccion;
Amazonas;2015;ORO;396;
Amazonas;2017;ARENAS;0;
Amazonas;2016;ORO;513;
Antioquia;2012;GRAVAS;12758;
Antioquia;2022;SERPENTINA EN RAJON;30367;
Antioquia;2021;ARCILLAS CERAMICAS;184402;
Antioquia;2018;CROMO - CROMITA;0;
Antioquia;2019;ARCILLAS CAOLINITICA;12028;
Antioquia;2012;CALIZAS;1292858;
Antioquia;2019;TALCO;1624;
Antioquia;2013;ARENA DE RIO;4829;
Antioquia;2022;ARENAS;1113668;
Antioquia;2021;MANGANESO;358;
Antioquia;2023;ARENAS;480286;
Antioquia;2023;CARBON;55889;
Antioquia;2014;ARCILLAS CAOLINITICA;84538;
Antioquia;2022;CALIZAS;3670658;
Antioquia;2019;CARBONATO DE CALCIO;10;
Antioquia;2016;CROMO - CROMITA;90;
Antioquia;2021;DOLOMITA;39246;
Antioquia;2016;GRAVAS;957395;
Antioquia;2017;MINERAL DE MAGNESIO (MAGNESITA);30;
Antioquia;2023;ARCILLAS FERRUGINOSAS;159874;
Antioquia;2017;ARCILLAS MISCELANEAS;491148;
Antioquia;2022;COBRE;99957;
Antioquia;2018;SERPENTINA EN RAJON;0;
Antioquia;2017;RECEBO;407349;
Antioquia;2015;RECEBO;15291;
Antioquia;2013;ARENA DE CANTERA;77521;
Antioquia;2019;SERPENTINA (SILICATO DE MAGNESIO);22171;
Antioquia;2018;YESO;139;
Antioquia;2016;ARCILLAS;55579;
Antioquia;2019;ARCILLAS;0;
Antioquia;2012;ARCILLAS CERAMICAS;86703;
Antioquia;2013;GRAVAS;1380355;
Antioquia;2014;CARBON;41344;
Antioquia;2017;CROMO - CROMITA;30;
Antioquia;2019;FELDESPATOS;5943;
Antioquia;2023;TALCO;803;
Antioquia;2018;ARCILLAS;0;
Antioquia;2016;SERPENTINA (SILICATO DE MAGNESIO);15;
Antioquia;2021;CALIZAS;3498833;
Antioquia;2016;ARCILLAS MISCELANEAS;496872;
Antioquia;2016;ARENA DE RIO;52;
Antioquia;2018;MARMOL EN RAJON (RETAL DE MÁRMOL);0;
Antioquia;2014;ARCILLAS CERAMICAS;290042;
Antioquia;2015;ARCILLAS CAOLINITICA;11018;
Antioquia;2013;GRAVAS DE RIO;1092456;
Antioquia;2012;PLATA;10067061;
Antioquia;2019;CALIZAS;3673224;
Antioquia;2020;MARMOL (BLOQUE MAYOR O IGUAL A 1 M3);259;
Antioquia;2022;CROMO - CROMITA;35372;
Antioquia;2020;DOLOMITA;47422;
Antioquia;2015;PLATA;7709131;
Antioquia;2017;DOLOMITA;77134;
Antioquia;2015;CALIZAS;3685377;
Antioquia;2014;ARENA DE RIO;75895;
Antioquia;2016;PLATINO;13845;
Antioquia;2012;GRAVAS DE RIO;260052;
Antioquia;2020;GRAVAS;2571759;
Antioquia;2012;ARENAS;16324;
Antioquia;2017;PLATINO;3871;
Antioquia;2018;ARCILLAS CAOLINITICA;11162;
Antioquia;2013;YESO;1978;
Antioquia;2018;ARCILLAS MISCELANEAS;372689;
Antioquia;2012;MARMOL (BLOQUE MAYOR O IGUAL A 1 M3);717;
Antioquia;2023;COBRE;201856;
Antioquia;2020;MANGANESO;29;
Antioquia;2022;GRAVAS;3676810;
Antioquia;2013;GRAVA DE CANTERA;149995;
Antioquia;2018;MANGANESO;0;
Antioquia;2020;CARBON;14345;
Antioquia;2019;ARENAS;1316471;
Antioquia;2014;ARENA DE CANTERA;75127;
Antioquia;2021;MARMOL (BLOQUE MAYOR O IGUAL A 1 M3);291;
Antioquia;2023;CALIZAS;1258773;
Antioquia;2021;ARCILLAS CAOLINITICA;32443;
Antioquia;2023;ARCILLAS CAOLINITICA;3;
Antioquia;2015;GRAVAS;1695884;
Antioquia;2014;DOLOMITA;68745;
Antioquia;2022;ORO;36662772;
Antioquia;2014;GRAVAS;475366;
Antioquia;2020;CROMO - CROMITA;146465;
Antioquia;2019;ARCILLAS CERAMICAS;312185;
Antioquia;2021;GRAVAS;4029389;
Antioquia;2017;CALIZAS;3595702;
Antioquia;2017;MARMOL EN RAJON (RETAL DE MÁRMOL);87;
Antioquia;2013;DOLOMITA;43406;
Antioquia;2012;SERPENTINA (SILICATO DE MAGNESIO);1968;
Antioquia;2015;MARMOL (BLOQUE MAYOR O IGUAL A 1 M3);157;
Antioquia;2016;MINERAL DE MAGNESIO (MAGNESITA);15;
Antioquia;2016;ARCILLAS CERAMICAS;173236;
Antioquia;2016;PLATA;7975707;
Antioquia;2022;PLATINO;16287;
